City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,Remire-montjoly,4.9167,-52.2667,33.02,58,75,2.06,GF,1695571553
81,Mirpur mathelo,28.0227,69.5489,35.23,33,25,6.12,PK,1695571553
82,Majuro,7.0897,171.3803,28.56,77,21,6.05,MH,1695571444
83,Malpica,43.3228,-8.8105,26.09,56,31,5.29,ES,1695571553
84,Inhambane,-23.865,35.3833,25.99,73,0,3.13,MZ,1695571553
85,Howrah,22.5892,88.3103,27.0,89,40,1.54,IN,1695571553
86,Atuntaqui,0.3333,-78.2167,21.95,46,100,3.25,EC,1695571553
87,Afaahiti,-17.75,-149.2833,20.59,80,100,9.28,PF,1695571554
88,Chibougamau,49.9168,-74.3659,14.79,47,0,2.06,CA,1695571328
89,Bantay,17.5847,120.3892,26.16,86,100,0.93,PH,1695571554
90,Merizo village,13.2658,144.6691,27.31,95,20,3.93,GU,1695571554
91,Saint-philippe,-21.3585,55.7679,23.77,71,32,5.76,RE,1695571554
92,Lensk,60.7253,114.9278,9.58,80,10,0.99,RU,1695571554
93,Puerto ayora,-0.7393,-90.3518,26.98,95,95,3.13,EC,1695571554
94,Kodoli,16.8833,74.2,22.2,95,100,2.36,IN,1695571554
95,Hadibu,12.65,54.0333,26.82,81,50,5.78,YE,1695571554
96,Punta arenas,-53.15,-70.9167,9.06,57,75,11.83,CL,1695571554
97,Sal rei,16.1833,-22.9167,31.11,66,20,7.2,CV,1695571545
98,Cole harbour,44.6724,-63.4751,18.88,70,100,0.0,CA,1695571554
99,Minas de marcona,-15.2119,-75.1103,18.37,61,50,6.74,PE,1695571555
100,Tiksi,71.6872,128.8694,1.4,77,100,6.13,RU,1695571555
101,Puerto natales,-51.7236,-72.4875,11.25,46,40,7.72,CL,1695571281
102,Vorgashor,67.5833,63.95,13.71,88,98,7.66,RU,1695571555
103,Polyarnyy,69.1989,33.4478,7.03,76,99,4.48,RU,1695571555
104,Guerrero negro,27.9769,-114.0611,23.05,70,0,6.75,MX,1695571436
105,Sao gabriel da cachoeira,-0.1303,-67.0892,29.89,74,40,1.54,BR,1695571555
106,Talnakh,69.4865,88.3972,2.34,84,100,5.95,RU,1695571555
107,Strelka,58.0728,93.0344,0.72,97,78,1.75,RU,1695571555
108,Mount pearl,47.5166,-52.7813,15.81,74,40,3.09,CA,1695571555
109,Whitehorse,60.7161,-135.0538,-2.57,100,75,1.54,CA,1695571555
110,Albany,42.6001,-73.9662,16.36,75,100,1.25,US,1695571556
111,Trat,12.5,102.5,25.2,94,100,0.8,TH,1695571556
112,Ilulissat,69.2167,-51.1,1.01,32,82,4.63,GL,1695571350
113,Sungai penuh,-2.0833,101.3833,16.75,95,92,0.46,ID,1695571556
114,Rio branco,-9.9747,-67.81,34.34,52,20,1.54,BR,1695571556
115,Margaret river,-33.95,115.0667,9.66,87,76,2.8,AU,1695571556
116,Las lomitas,-24.7096,-60.593,43.17,13,48,6.29,AR,1695571556
117,Ta`u,-14.2336,-169.5144,25.33,71,100,11.44,AS,1695571556
118,Touros,-5.1989,-35.4608,29.53,63,9,7.96,BR,1695571409
119,Tual,-5.6667,132.75,25.85,83,94,7.89,ID,1695571556
120,Doka,13.5167,35.7667,26.72,75,55,3.25,SD,1695571556
121,Ribeira grande,38.5167,-28.7,24.22,50,20,5.36,PT,1695571557
122,Utrik,11.2278,169.8474,28.68,80,74,8.06,MH,1695571557
123,Broken hill,-31.95,141.4333,17.23,68,3,6.02,AU,1695571557
124,Jamestown,42.097,-79.2353,16.77,93,100,3.6,US,1695571557
125,Nemuro,43.3236,145.575,15.51,77,86,2.23,JP,1695571557
126,Chernyshevsk,52.5243,117.0174,9.94,87,100,4.71,RU,1695571557
127,North mankato,44.1733,-94.0339,18.41,82,75,2.06,US,1695571557
128,Dawson creek,55.7666,-120.2362,7.8,81,0,1.54,CA,1695571557
